City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bungu,-7.6337,39.0582,77.38,55,21,8.61,TZ,1690006652
1,kabo,7.6994,18.629,74.07,83,68,3.33,CF,1690006652
2,codrington,-38.2667,141.9667,55.98,72,97,8.19,AU,1690006652
3,chumikan,54.7183,135.315,74.39,40,35,6.67,RU,1690006652
4,viransehir,37.2353,39.7631,99.03,12,0,3.85,TR,1690006653
5,carnarvon,-24.8667,113.6333,73.76,23,0,19.3,AU,1690006653
6,narsaq,60.9167,-46.05,46.62,88,66,1.88,GL,1690006653
7,xuddur,4.1213,43.8894,74.66,73,80,21.07,SO,1690006654
8,ponta do sol,32.6667,-17.1,72.23,73,1,6.2,PT,1690006654
9,punta arenas,-53.15,-70.9167,26.92,74,99,6.85,CL,1690006654
10,san quintin,30.4833,-115.95,66.34,86,6,8.68,MX,1690006654
11,muisne,0.6,-80.0333,78.35,85,100,6.33,EC,1690006655
12,avarua,-21.2078,-159.775,68.05,88,75,5.75,CK,1690006655
13,ushuaia,-54.8,-68.3,28.06,69,40,11.5,AR,1690006655
14,taltal,-25.4,-70.4833,61.52,75,92,2.19,CL,1690006655
15,kapaa,22.0752,-159.319,80.92,81,40,12.66,US,1690006655
16,south valley,35.0101,-106.6781,78.28,55,40,25.32,US,1690006656
17,cabo san lucas,22.8909,-109.9124,89.62,72,1,12.46,MX,1690006358
18,bambous virieux,-20.3428,57.7575,77.25,65,20,12.66,MU,1690006656
19,mar del plata,-38.0023,-57.5575,62.1,93,100,3.0,AR,1690006374
20,truro,50.2653,-5.0544,59.76,94,75,11.5,GB,1690006657
21,masinigudi,11.5667,76.6667,72.21,82,99,8.43,IN,1690006657
22,bredasdorp,-34.5322,20.0403,44.37,68,100,4.47,ZA,1690006657
23,port elizabeth,-33.918,25.5701,56.21,81,80,5.19,ZA,1690006657
24,carndonagh,55.25,-7.2667,60.42,98,100,3.09,IE,1690006657
25,kilindoni,-7.9139,39.6668,77.68,80,11,18.79,TZ,1690006658
26,port alfred,-33.5906,26.891,64.65,60,63,13.73,ZA,1690006658
27,namibe,-15.1961,12.1522,63.61,87,14,5.48,AO,1690006658
28,severo-kurilsk,50.6789,156.125,54.72,84,34,10.25,RU,1690006658
29,mataura,-46.1927,168.8643,38.66,80,4,5.91,NZ,1690006659
30,arraial do cabo,-22.9661,-42.0278,69.22,75,56,16.87,BR,1690006659
31,villarrica,-25.75,-56.4333,75.09,52,7,11.05,PY,1690006659
32,chokurdakh,70.6333,147.9167,57.94,44,19,6.31,RU,1690006659
33,qaanaaq,77.484,-69.3632,42.78,68,92,1.12,GL,1690006522
34,lancaster,40.2504,-76.2499,69.3,84,0,4.61,US,1690006459
35,acari,-15.4311,-74.6158,65.25,78,58,4.14,PE,1690006660
36,olinda,-8.0089,-34.8553,78.53,73,75,11.5,BR,1690006535
37,agua dulce,18.1333,-94.1333,79.09,85,94,5.57,MX,1690006660
38,margate,51.3813,1.3862,57.87,78,100,5.01,GB,1690006660
39,macau,22.2006,113.5461,95.86,74,20,8.05,MO,1690006660
40,bilma,18.6853,12.9164,88.97,39,14,8.14,NE,1690006400
41,ixtapa,20.7,-105.2,78.01,92,98,2.86,MX,1690006661
42,albany,42.6001,-73.9662,64.63,92,1,6.42,US,1690006558
43,barrow,71.2906,-156.7887,50.02,87,75,4.61,US,1690006661
44,lorengau,-2.0226,147.2712,85.26,70,28,7.54,PG,1690006662
45,concordia,-31.393,-58.0209,71.78,84,100,18.01,AR,1690006655
46,faanui,-16.4833,-151.75,76.6,65,57,13.02,PF,1690006662
47,rikitea,-23.1203,-134.9692,71.47,61,28,16.11,PF,1690006663
48,khash,28.2211,61.2158,94.05,21,67,8.37,IR,1690006663
49,ndola,-12.9587,28.6366,61.05,66,4,9.22,ZM,1690006464
50,vila,42.0304,-8.1588,51.69,94,20,4.45,PT,1690006663
51,saskylakh,71.9167,114.0833,63.59,48,96,14.05,RU,1690006663
52,neftcala,39.3742,49.2472,84.78,57,1,12.73,AZ,1690006664
53,hobart,-42.8794,147.3294,57.06,62,75,6.91,AU,1690006584
54,portland,45.5234,-122.6762,75.18,57,0,5.75,US,1690006509
55,caravelas,-17.7125,-39.2481,70.39,67,48,9.53,BR,1690006664
56,launceston,-41.45,147.1667,53.62,84,75,10.36,AU,1690006665
57,hofn,64.2539,-15.2082,49.82,83,96,5.12,IS,1690006665
58,owatonna,44.0839,-93.226,66.56,84,0,0.0,US,1690006665
59,hasaki,35.7333,140.8333,91.29,74,42,9.53,JP,1690006665
60,mazamari,-11.3258,-74.5308,69.48,80,63,2.06,PE,1690006665
61,namatanai,-3.6667,152.4333,82.53,76,86,10.31,PG,1690006666
62,jamestown,42.097,-79.2353,60.71,98,0,1.01,US,1690006245
63,garelochhead,56.082,-4.8291,56.01,97,99,3.06,GB,1690006666
64,bluff,-46.6,168.3333,43.84,70,9,11.39,NZ,1690006666
65,butaritari,3.0707,172.7902,82.81,75,17,4.85,KI,1690006666
66,puerto ayora,-0.7393,-90.3518,76.37,81,98,10.74,EC,1690006667
67,merauke,-8.4667,140.3333,81.61,65,22,19.22,ID,1690006667
68,partyzany,46.3314,34.7503,76.53,44,2,6.55,UA,1690006668
69,hilo,19.7297,-155.09,82.27,87,100,3.44,US,1690006668
70,katsuura,35.1333,140.3,84.22,71,5,11.12,JP,1690006668
71,provideniya,64.3833,-173.3,50.97,93,100,3.96,RU,1690006668
72,hermanus,-34.4187,19.2345,51.01,60,100,7.61,ZA,1690006669
73,huarmey,-10.0681,-78.1522,67.15,87,28,9.4,PE,1690006539
74,constitucion,-35.3333,-72.4167,53.26,87,100,8.57,CL,1690006669
75,tripoli,32.8752,13.1875,88.2,36,0,6.13,LY,1690006487
76,nome,64.5011,-165.4064,54.16,93,100,8.05,US,1690006669
77,khatanga,71.9667,102.5,62.71,52,100,7.67,RU,1690006670
78,vaini,-21.2,-175.2,73.56,88,75,4.61,TO,1690006670
79,mendi,-6.1761,143.6513,59.2,100,94,2.35,PG,1690006670
80,wad rawah,15.1603,33.1397,87.33,53,73,21.21,SD,1690006670
81,kavieng,-2.5744,150.7967,83.53,74,46,7.63,PG,1690006671
82,port hedland,-20.3167,118.5667,82.45,13,0,18.41,AU,1690006671
83,imbituba,-28.24,-48.6703,66.85,92,8,12.93,BR,1690006671
84,luganville,-15.5333,167.1667,73.04,93,100,6.2,VU,1690006671
85,milkovo,54.7167,158.6167,73.8,73,62,3.22,RU,1690006671
86,yilan,24.757,121.753,92.55,66,89,7.14,TW,1690006672
87,vaitape,-16.5167,-151.75,76.59,65,56,13.0,PF,1690006672
88,bereda,43.2686,-7.5406,58.57,94,95,2.75,ES,1690006672
89,ludvika,60.1496,15.1878,57.0,75,31,6.55,SE,1690006672
90,husavik,66.0449,-17.3389,49.08,75,100,3.65,IS,1690006672
91,east london,-33.0153,27.9116,65.34,55,0,12.66,ZA,1690006654
92,dingle,10.9995,122.6711,82.96,79,97,12.44,PH,1690006673
93,tasiilaq,65.6145,-37.6368,41.16,98,100,3.29,GL,1690006673
94,alofi,-19.0595,-169.9187,75.09,94,22,4.61,NU,1690006674
95,dikson,73.5069,80.5464,36.3,86,48,22.93,RU,1690006674
96,vyartsilya,62.1764,30.693,55.62,93,100,8.97,RU,1690006674
97,mandalgovi,45.7625,106.2708,67.71,55,100,17.92,MN,1690006674
98,havelock,34.8791,-76.9013,80.94,88,75,0.0,US,1690006675
99,atuona,-9.8,-139.0333,79.0,71,5,14.81,PF,1690006675
100,mahebourg,-20.4081,57.7,77.29,65,20,12.66,MU,1690006675
101,salalah,17.0151,54.0924,78.89,100,100,8.05,OM,1690006675
102,wanxian,30.8039,108.3897,92.01,64,14,1.9,CN,1690006675
103,san luis,-33.295,-66.3356,52.99,60,96,2.53,AR,1690006676
104,qaqortoq,60.7167,-46.0333,42.84,97,76,0.69,GL,1690006676
105,timmins,48.4669,-81.3331,48.02,81,0,2.3,CA,1690006502
106,baykit,61.67,96.37,86.56,24,0,9.69,RU,1690006676
107,saint-philippe,-21.3585,55.7679,72.1,85,83,14.45,RE,1690006677
108,sao joao da barra,-21.6403,-41.0511,67.96,72,33,7.16,BR,1690006505
109,port blair,11.6667,92.75,86.04,79,75,9.22,IN,1690006677
110,empalme,27.9667,-110.8167,90.55,62,55,1.52,MX,1690006677
111,bethel,41.3712,-73.414,69.67,86,0,0.0,US,1690006515
112,richards bay,-28.783,32.0377,59.23,76,1,13.02,ZA,1690006677
113,yellowknife,62.456,-114.3525,66.72,48,100,6.91,CA,1690006678
114,cascais,38.6979,-9.4215,67.93,82,20,15.01,PT,1690006678
115,kodiak,57.79,-152.4072,58.51,77,0,4.61,US,1690006678
116,nola,40.922,14.5329,87.31,57,1,3.02,IT,1690006678
117,pevek,69.7008,170.3133,36.41,96,99,16.24,RU,1690006679
118,castro,-24.7911,-50.0119,53.2,99,12,4.7,BR,1690006679
119,emerald,-23.5333,148.1667,77.34,26,2,7.94,AU,1690006679
120,road town,18.4167,-64.6167,82.49,77,59,16.33,VG,1690006545
121,jacareacanga,-6.2222,-57.7528,69.01,55,10,2.68,BR,1690006680
122,lavrentiya,65.5833,-171.0,46.18,98,100,3.24,RU,1690006680
123,mafeteng,-29.823,27.2374,43.41,81,70,14.74,LS,1690006611
124,biak,-0.9131,122.8766,82.09,67,36,9.13,ID,1690006680
125,touros,-5.1989,-35.4608,71.76,85,2,13.24,BR,1690006681
126,vestmannaeyjar,63.4427,-20.2734,50.81,82,58,15.05,IS,1690006681
127,zabol,32.25,67.25,89.29,18,26,9.89,AF,1690006681
128,chuy,-33.6971,-53.4616,62.42,89,83,9.73,UY,1690006682
129,rhyl,53.3196,-3.4886,58.84,92,100,1.01,GB,1690006682
130,lebu,-37.6167,-73.65,50.2,89,100,8.19,CL,1690006683
131,georgetown,5.4112,100.3354,90.95,78,20,10.36,MY,1690006674
132,nikolskoye,59.7035,30.7861,65.79,68,100,11.81,RU,1690006684
